facility_id,city,state,year,industry_type,co2_emissions,unit_methane_emissions,unit_nitrous_oxide_emissions
1011658,Oakland,IA,2021,"C,W",1.5,0.0,0.0
1003686,AUBURN HILLS,MI,2021,"C,HH",49.8,0.0,0.0
1001666,CONVENT,LA,2021,C,61538.5,29.0,34.568
1001704,WICHITA,KS,2021,C,121430.6,57.25,68.242
1001706,GEISMAR,LA,2021,"C,X",20.8,0.0,0.0
1001708,LUDINGTON,MI,2021,C,42609.4,20.0,23.84
1001709,HAHNVILLE,LA,2021,"C,D",0.4,0.0,0.0
1001705,INGLESIDE,TX,2021,"C,X",594063.2,280.0,333.76
1002667,MANCHESTER,NJ,2021,"C,HH",135.3,0.25,0.298
1000373,LAKEWOOD,NJ,2021,"C,D",151.1,0.0,0.0
1001258,HARRISVILLE,RI,2021,D,235527.3,110.25,134.1
1001271,HARRISVILLE,RI,2021,D,193151.0,90.0,110.26
1010636,Nederland,TX,2021,"C,X",752949.9,286.0,340.912
1007299,TEMPE,AZ,2021,"C,D",5472.3,2.5,2.98
1001365,ODESSA,TX,2021,D,364488.3,169.0,202.64
1013947,Briggsdale,CO,2021,"C,W",2242.1,1.0,1.192
1003955,Crawford,OK,2021,"C,W",15484.3,7.25,8.642
1010547,Calumet,OK,2021,"C,W",32276.6,15.25,18.178
1003736,CUSTER CITY,OK,2021,"C,W",33633.1,15.75,18.774
1006184,MAYSVILLE,OK,2021,"C,W",82593.3,39.0,46.488
1003727,Canute,OK,2021,C,2484.2,1.25,1.49
1006316,Woodward,OK,2021,"C,W",24087.2,11.25,13.41
1006177,LORTON,VA,2021,C,105137.98,2485.0,3887.41
1004467,BEAVER DAM,KY,2021,"C,HH",3.9,0.0,0.0
1006948,ATHENS,OH,2021,C,27314.1,12.75,15.198
1006535,SHELBYVILLE,KY,2021,C,36068.8,17.0,20.264
1003661,GLENFORD,OH,2021,"C,HH",0.0,28.0,65.858
1004425,HUTCHINSON,KS,2021,"C,NN,W",81293.8,38.25,45.594
1004418,MEDFORD,OK,2021,"C,NN,W",225861.1,106.5,126.948
